City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayacucho,5.6639,-67.6236,91.81,55,76,3.33,VE,2023-10-06 12:52:39
1,airuk,7.2772,168.8203,82.74,79,100,15.48,MH,2023-10-06 12:52:39
2,mashhad,36.297,59.6062,57.34,67,40,6.91,IR,2023-10-06 12:52:39
3,ushuaia,-54.8,-68.3,44.22,56,0,8.01,AR,2023-10-06 12:52:40
4,tamanrasset,22.785,5.5228,85.91,16,40,5.75,DZ,2023-10-06 12:52:40
5,sakaiminato,35.55,133.2333,60.78,88,75,5.75,JP,2023-10-06 12:48:31
6,port-aux-francais,-49.35,70.2167,35.47,67,35,33.24,TF,2023-10-06 12:52:40
7,pisco,-13.7,-76.2167,69.03,77,20,9.22,PE,2023-10-06 12:49:14
8,hermanus,-34.4187,19.2345,59.23,93,100,19.35,ZA,2023-10-06 12:52:40
9,waitangi,-43.9535,-176.5597,50.83,90,62,5.99,NZ,2023-10-06 12:52:41
10,hilo,19.7297,-155.09,80.28,78,100,5.75,US,2023-10-06 12:52:41
11,san patricio,28.017,-97.5169,81.88,60,96,13.56,US,2023-10-06 12:52:41
12,papatowai,-46.5619,169.4708,42.8,75,36,11.7,NZ,2023-10-06 12:52:41
13,tongren,27.7172,109.1853,57.27,91,100,6.33,CN,2023-10-06 12:52:41
14,punta arenas,-53.15,-70.9167,44.71,61,75,28.77,CL,2023-10-06 12:51:27
15,hobyo,5.3505,48.5268,80.08,81,50,18.45,SO,2023-10-06 12:52:42
16,detroit lakes,46.8172,-95.8453,48.85,81,100,18.41,US,2023-10-06 12:49:22
17,mossel bay,-34.1831,22.146,62.53,94,100,21.45,ZA,2023-10-06 12:52:42
18,fomboni,-12.28,43.7425,78.76,77,2,7.23,KM,2023-10-06 12:52:42
19,fisterra,42.9049,-9.2629,79.75,70,48,8.5,ES,2023-10-06 12:52:42
20,edinburgh of the seven seas,-37.0676,-12.3116,52.95,71,79,14.81,SH,2023-10-06 12:52:42
